Business Name,UBI#,Business Type,Principal Office Address,Registered Agent Name,Status
"EASTLAKE CHIROPRACTIC CENTER, P.S.",601 781 489,WA PROFESSIONAL SERVICE CORPORATION,"2722 EASTLAKE AVE EAST, 360, SEATTLE, WA, 98102, UNITED STATES",LINCOLN D KAMELL DC,Active
"EASTSIDE CHIROPRACTIC GROUP, A PROFESSIONAL SERVICE CORPORATION",602 974 003,WA PROFESSIONAL SERVICE CORPORATION,"1215 120TH AVE NE STE 100, BELLEVUE, WA, 98005-2135, UNITED STATES",KEITH MCGAHEY,Active
"EASTSIDE CHIROPRACTIC SERVICES, P.S.",602 104 231,WA PROFESSIONAL SERVICE CORPORATION,"1526 BISHOP RD SW, TUMWATER, WA, 98512-7354, UNITED STATES",BEAN GENTRY WHEELER & PETERNELL PLLC,Active
"EASTSIDE CHIROPRACTIC, P.C.",602 077 095,WA PROFESSIONAL SERVICE CORPORATION,"11801 NE 160TH ST, SUITE D, BOTHELL, WA, 98011, UNITED STATES",DARRELL SCHREYER DC,Active
EDMARK CHIROPRACTIC PLLC,603 519 112,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"10519 20TH ST SE STE 1, LAKE STEVENS, WA, 98258-4769, UNITED STATES",CORPORATION SERVICE COMPANY,Delinquent
EDMONDS FAMILY CHIROPRACTIC LLC,603 088 835,WA LIMITED LIABILITY COMPANY,"8325 212TH ST SW STE 103, EDMONDS, WA, 98026-7435, UNITED STATES",MATTHEW SO,Active
"EDMONDS-WOODWAY CHIROPRACTIC, LLC",603 445 301,WA LIMITED LIABILITY COMPANY,"7631 212TH ST SW, SUITE 105B, EDMONDS, WA, 98026-7565, UNITED STATES",KRISTOPHER LANE,Administratively Dissolved
"ELDRIDGE CHIROPRACTIC, P.S.",602 584 385,WA PROFESSIONAL SERVICE CORPORATION,"100 3RD ST, SUITE 2, DAVENPORT, WA, 99122-5008, UNITED STATES",TROY ELDRIDGE,Administratively Dissolved
"ELEMENTS CHIROPRACTIC AND WELLNESS CENTER, INC",603 614 031,WA PROFIT CORPORATION,"1420 NW GILMAN BLVD STE 2 # 8044, ISSAQUAH, WA, 98027-5333, UNITED STATES",JAMES JACKSON,Delinquent
ELEVATE SPORTS REHAB AND CHIROPRACTIC PLLC,604 002 649,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"7588 DELEWARE LN, VANCOUVER, WA, 98664, UNITED STATES","KELSIE MARIE MOORE DC, MS",Administratively Dissolved
ELITE CHIROPRACTIC AND MASSAGE PLLC,603 164 484,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"8131 W KLAMATH CT, SUITE H, KENNEWICK, WA, 99336-5251, UNITED STATES",KAREN HOLT,Active
"ELITE CHIROPRACTIC AND WELLNESS, PS",604 531 761,WA PROFESSIONAL SERVICE CORPORATION,,CHAD FINDLAY,Active
"ELITE CHIROPRACTIC, INC",601 975 709,WA PROFIT CORPORATION,,DR BLAINE G UPHAM,Inactive
"ELITE CHIROPRACTIC, INC PS",603 381 641,WA PROFESSIONAL SERVICE CORPORATION,"835 E COLONIAL AVE, MOSES LAKE, WA, 98837-4617, UNITED STATES",TY STROHMAIER,Active
ELLENSBURG CHIROPRACTIC LLP,602 355 302,WA LIMITED LIABILITY PARTNERSHIP,"109 S WATER ST STE 2, ELLENSBURG, WA, 98926, UNITED STATES",GARY LFAVERO,Inactive
"ELLENSBURG CHIROPRACTIC, PS",603 007 393,WA PROFESSIONAL SERVICE CORPORATION,"109 S. WATER STREET #2, ELLENSBURG, WA, 98926, UNITED STATES",GARY FAVERO,Active
"ELLIOTT CHIROPRACTIC CLINIC, P.L.L.C.",602 596 304,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"111 E MAIN ST, EVERSON, WA, 98247-9139, UNITED STATES","BAJ SERVICES, L.L.C.",Active
"ELLIS CHIROPRACTIC, PLLC",602 516 479,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"217 N MERIDIAN STE A, SUITE A, PUYALLUP, WA, 98371-8647, UNITED STATES",MITCH ELLIS,Active
ELMA CHIROPRATIC INC.,601 477 723,WA PROFIT CORPORATION,,MATTHEW PETERSON,Inactive
EMDE CHIROPRACTIC PS,602 704 211,WA PROFESSIONAL SERVICE CORPORATION,"2017 CONTINENTAL PL STE 1, MOUNT VERNON, WA, 98273-5649, UNITED STATES",EMDE CHIROPRACTIC PS,Active
"EMERALD CITY CHIRO-1, LLC",604 118 215,WA LIMITED LIABILITY COMPANY,"11700 MUKILTEO SPEEDWAY, SUITE 203, MUKILTEO, WA, 98275, UNITED STATES",PETER SALAMA,Active
"EMERALD CITY CHIROPRACTIC GROUP, PLLC",604 262 272,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"11700 MUKILTEO SPEEDWAY STE 203, MUKILTEO, WA, 98275-5436, UNITED STATES",THE JOINT,Active
"EMERALD CITY CHIROPRACTIC, P.S.",601 325 559,WA PROFESSIONAL SERVICE CORPORATION,"301 N 67TH ST, SEATTLE, WA, 98103-5209, UNITED STATES",WINI HAMILTON,Active
"EMPIRE CHIROPRACTIC OFFICES, P.S.",000 053 005,WA PROFESSIONAL SERVICE CORPORATION,,JOHN F HAGEN,Inactive
EMPOWERED CARE CHIROPRACTIC LLC,604 105 260,WA LIMITED LIABILITY COMPANY,"1700 KENTUCKY ST, BELLINGHAM, WA, 98229-4715, UNITED STATES",FRANK CAPOBIANCO,Active
EMPOWERED CHIROPRACTIC LLC,603 285 693,WA LIMITED LIABILITY COMPANY,"409 S MAIN ST, KITTITAS, WA, 98934, UNITED STATES",JOEL A GIBB,Administratively Dissolved
"ENGLAND CHIROPRACTIC, PLLC",603 095 952,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"136 E JOHNSON AVE, CHELAN, WA, 98816, UNITED STATES", DR AARON ENGLAND,Active
EQUILIBRIUM CHIROPRACTIC LLC,604 498 049,WA LIMITED LIABILITY COMPANY,"1558 3RD AVE, LONGVIEW, WA, 98632-3229, UNITED STATES",LOREN HANNA IV,Active
"EQUILIBRIUM CHIROPRACTIC OF LONGVIEW, LLC",604 626 825,WA LIMITED LIABILITY COMPANY,"1560 3RD AVE, LONGVIEW, WA, 98632-3229, UNITED STATES",REGISTERED AGENTS INC.,Active
ERICKSON CHIROPRACTIC OFFICE P.L.L.C.,601 957 782,WA PROFESSIONAL LIMITED LIABILITY COMPANY,,DWIGHT ERICKSON,Administratively Dissolved
"ERNST CHIROPRACTIC CLINIC, P.S.",600 140 866,WA PROFESSIONAL SERVICE CORPORATION,"16714 SMOKEY PT. BLVD, ARLINGTON, ARLINGTON, WA, 98223, UNITED STATES",LOREN C ERNST,Active
ESSENTIAL CHIROPRACTIC AND ASSOCIATES P.S.,602 379 783,WA PROFIT CORPORATION,"1050 140TH AVE NE STE D, BELLEVUE, WA, 98005, UNITED STATES",SCOTT HAMMONS,Administratively Dissolved
"ESSENTIAL CHIROPRACTIC AND THERAPEUTIC ASSOCIATES, PLLC",602 219 283,WA PROFESSIONAL LIMITED LIABILITY COMPANY,,SCOTT HAMMONS,Inactive
ESSENTIAL FAMILY AND PEDIATRIC CHIROPRACTIC PLLC,604 482 344,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"1800 BICKFORD AVE STE 212, SNOHOMISH, WA, 98290-1769, UNITED STATES",ESSENTIAL FAMILY AND PEDIATRIC CHIROPRACTIC PLLC,Active
ESSENTIAL HEALTH CHIROPRACTIC LLC,603 310 365,WA LIMITED LIABILITY COMPANY,"1800 BICKFORD AVE STE 212, SNOHOMISH, WA, 98290, UNITED STATES",ELISE DECAMP,Delinquent
"EVANS CHIROPRACTIC, P.S.",602 964 429,WA PROFESSIONAL SERVICE CORPORATION,"7514 W YELLOWSTONE AVE, KENNEWICK, WA, 99336-1101, UNITED STATES",ADAM R EVANS,Active
"EVERGREEN CHIROPRACTIC & HEALTH, LLC",604 053 072,WA LIMITED LIABILITY COMPANY,"8518 W GAGE BLVD, KENNEWICK, WA, 99336, UNITED STATES",LUCAS WATSON,Administratively Dissolved
"EVERGREEN CHIROPRACTIC CLINIC, INC.",602 509 258,WA PROFIT CORPORATION,"3800 S EDDY ST, SEATTLE, WA, 98118-3136, UNITED STATES",ANDY CHIEM,Active
EVERGREEN CHIROPRACTIC LLC,604 451 019,WA LIMITED LIABILITY COMPANY,"301 SE 177TH AVE APT J103, VANCOUVER, WA, 98683-4226, UNITED STATES",CASSI LONG,Delinquent
EVERGREEN CHIROPRACTIC WELLNESS CLINIC INC.,603 279 415,WA PROFIT CORPORATION,"1666 E OLIVE WAY, SEATTLE, WA, 98102, UNITED STATES",WAYNE CISSELL,Administratively Dissolved
EVOLUTION CHIROPRACTIC LLC,602 939 883,WA LIMITED LIABILITY COMPANY,"9909 224TH ST E UNIT 100A, GRAHAM, WA, 98338-7086, UNITED STATES",JAMES LAHOE,Active
"EYFORD CHIROPRACTIC, P.L.L.C.",602 349 200,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"601 S PINE ST, TACOMA, WA, 98405-2793, UNITED STATES","GTH CORPORATE SERVICES, LLC",Active
"FACTORIA CHIROPRACTIC CLINIC INC., P.S.",600 433 025,WA PROFESSIONAL SERVICE CORPORATION,,,Inactive
"FAITH CHIROPRACTIC, P.S.",602 044 012,WA PROFIT CORPORATION,"13613 MERIDIAN E, STE 260, PUYALLUP, WA, 98373-9800, UNITED STATES",FAITH M DOYLE,Voluntarily Dissolved
FALL CITY CHIROPRACTIC CENTER INC. P.S.,601 994 749,WA PROFESSIONAL SERVICE CORPORATION,,NATHANIEL JESSE SWAN,Administratively Dissolved
FAMILY & SPORTS CHIROPRACTIC CENTER LLC,603 569 116,WA LIMITED LIABILITY COMPANY,"5600 PACIFIC AVE, LACEY, WA, 98503, UNITED STATES",FAMILY & SPORTS CHIROPRACTIC CENTER,Active
FAMILY & SPORTS CHIROPRACTIC CLINIC LLC,603 518 052,WA LIMITED LIABILITY COMPANY,"5514 NE 107TH AVE  #101, VANCOUVER, WA, 98662, UNITED STATES",JONER LAW PLLC,Delinquent
"FAMILY CARE  CHIROPRACTIC CLINIC, PLLC",603 213 563,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"11206 NE 4TH PLAIN, VANCOUVER, WA, 98662, UNITED STATES",VIKTOR PALCHIKOVSKIY,Administratively Dissolved
"FAMILY CHIROPRACTIC AT SALMON CREEK, INC.",602 727 655,WA PROFIT CORPORATION,"11815 NE HIGHWAY 99, SUITE A, VANCOUVER, WA, 98686-4008, UNITED STATES",HARLEY O YOUNGBLOOD III,Active
"FAMILY CHIROPRACTIC CARE BACK PAIN CLINIC, P.C.",603 383 923,WA PROFESSIONAL SERVICE CORPORATION,"1815 HUDSON ST, LONGVIEW, WA, 98632-2913, UNITED STATES",EVERGREEN AGENT AND SERVICE CO LLC,Active
FAMILY CHIROPRACTIC CENTER OF FIRCREST INC,603 336 364,WA PROFIT CORPORATION,,CHRISTOPHER L MILLER,Administratively Dissolved
"FAMILY CHIROPRACTIC CENTER, INC.",601 779 264,WA PROFIT CORPORATION,"8227 44TH AVE W STE C, MUKILTEO, WA, 98275-2848, UNITED STATES","FAMILY CHIORACTIC CENTER, INC.",Active
"FAMILY CHIROPRACTIC CENTERS, P.S.",601 309 207,WA PROFESSIONAL SERVICE CORPORATION,,ROD A MILNE,Inactive
"FAMILY CHIROPRACTIC CLINIC JOHN HAMMER D.C., LLC",602 199 565,WA LIMITED LIABILITY COMPANY,"208TH 4TH AVENUE W, OMAK, WA, 98841, UNITED STATES",CORPORATION SERVICE COMPANY,Inactive
"FAMILY CHIROPRACTIC CLINIC, INC.",601 834 724,WA PROFIT CORPORATION,"616 1/2 WHITCOMB AVE S, TONASKET, WA, 98855, UNITED STATES",DEANNA WELBORN,Active
"FAMILY CHIROPRACTIC WELLNESS CENTER, PROFESSIONAL LIMITED LIABILITY COMPANY",602 760 345,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"110 COLUMBIA POINT DR, RICHLAND, WA, 99352-4387, UNITED STATES",MICHAEL FROEHLICH,Active
"FAMILY CHIROPRACTIC, P.S.",601 988 519,WA PROFESSIONAL SERVICE CORPORATION,"N 826 MULLAN RD #B, SPOKANE, WA, 99206, UNITED STATES",JOHN GOLDFELDT,Active
FAMILY CHIROPRATIC & MASSAGE INC.,602 173 119,WA PROFIT CORPORATION,,WADE K RANDALL,Inactive
"FAMILY FIRST CHIROPRACTIC, INC. P.S.",603 585 376,WA PROFESSIONAL SERVICE CORPORATION,"1420 3RD ST SE STE 202, PUYALLUP, WA, 98372-3730, UNITED STATES",SHAWN MIRGHANBARI,Active
FAMILY LIFESTYLE CHIROPRACTIC PLLC,602 889 847,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"305 E BROADWAY AVE, MOSES LAKE, WA, 98837-1719, UNITED STATES",SAUL RIBELLIA,Active
"FAMILY PHYSICAL MEDICINE AND CHIROPRACTIC REHAB, LLC",602 001 859,WA LIMITED LIABILITY COMPANY,,WILLIAM WU,Inactive
"FAMILY TREE CHIROPRACTIC, PLLC",602 469 178,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"454 PINE ST, PO BOX 1622, EASTSOUND, WA, 98245-9454, UNITED STATES",KAMI L RATHBURN DC,Active
"FARRINGTON CHIROPRACTIC, LLC",603 125 871,WA LIMITED LIABILITY COMPANY,"13318 120TH AVE NE, KIRKLAND, WA, 98034, UNITED STATES",DAMON FARRINGTON,Administratively Dissolved
"FAUNTLEROY CHIROPRACTIC, P.S.",602 080 282,WA PROFESSIONAL SERVICE CORPORATION,"4154 CALIFORNIA AVE SW, SEATTLE, WA, 98116, UNITED STATES",BRYAN WIEBE,Active
"FEATHERSTONE CHIROPRACTIC CLINIC, PLLC",602 539 539,WA LIMITED LIABILITY COMPANY,"12116 SE MILL PLAIN BOULEVARD, SUITE 2, VANCOUVER, WA, 98684, UNITED STATES",RONDA A GORDON,Voluntarily Dissolved
FEDERAL WAY CHIROPRACTIC SOCIETY,601 665 862,WA NONPROFIT CORPORATION,"3333 SHORECLIFF DR NE, TACOMA, WA, 98422, UNITED STATES",MING MING SU-BROWN,Inactive
"FEDERAL WAY CHIROPRACTIC, P.S.",602 166 282,WA PROFIT CORPORATION,,DUANE K MATTSON,Administratively Dissolved
"FEDERAL WAY CHIROPRACTIC, P.S.",604 609 918,WA PROFESSIONAL SERVICE CORPORATION,"7711 40TH AVENUE CT E, TACOMA, WA, 98443-1864, UNITED STATES",GRANT COX,Active
FEDERATION OF STRAIGHT CHIROPRACTIC ORGANIZATION OF         WASHINGTON,601 154 648,WA NONPROFIT CORPORATION,,JOHN S HUBER D C,Inactive
"FERKEL CHIROPRACTIC SERVICES, P.S.",601 281 786,WA PROFESSIONAL SERVICE CORPORATION,,,Inactive
"FERNDALE CHIROPRACTIC CENTER, INC., P.S.",600 399 533,WA PROFESSIONAL SERVICE CORPORATION,"3467 PINEHURST CT, BELLINGHAM, WA, 98226, UNITED STATES",ROSALEE JMACDONALD,Administratively Dissolved
FERNDALE CHIROPRACTIC CLINIC LLC,603 574 689,WA LIMITED LIABILITY COMPANY,"2376 MAIN ST STE 1, FERNDALE, WA, 98248-8605, UNITED STATES",PIERRE CONSTANTIN,Active
"FERNDALE CHIROPRACTIC, P.S.",602 655 574,WA PROFESSIONAL SERVICE CORPORATION,"1943 MAIN ST, FERNDALE, WA, 98248, UNITED STATES",EDDIE HANSEN,Inactive
"FERNIE CHIROPRACTIC CLINIC, P.S.",601 217 694,WA PROFESSIONAL SERVICE CORPORATION,"2431 BETHEL RD SE, PORT ORCHARD, WA, 98366-2438, UNITED STATES",BRUCE FERNIE,Active
"FIDALGO ISLAND CHIROPRACTIC CLINIC, LLC",603 346 338,WA LIMITED LIABILITY COMPANY,"3218 R AVE.STE A, ANACORTES, WA, 98221, UNITED STATES",CAMERON BIGGE,Administratively Dissolved
"FINESSE CHIROPRACTIC, P.S.",602 942 591,WA PROFESSIONAL SERVICE CORPORATION,"5520 CORPORATE CENTER LOOP SE # K11, LACEY, WA, 98503, UNITED STATES",MARVIN KUNIKIYO,Administratively Dissolved
"FINLAYSON FAMILY CHIROPRACTIC, PLLC",604 330 965,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"6201 PACIFIC AVE, SUITE A, TACOMA, WA, 98408-7423, UNITED STATES","FINLAYSON FAMILY CHIROPRACTIC, PLLC",Active
"FINNIGAN CHIROPRACTIC CENTER, PLLC",602 675 097,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"1307 VIOLET ST SE, LACEY, WA, 98503-5710, UNITED STATES",DAVID D CULLEN,Active
"FIRESIDE CHIROPRACTIC, L.L.C.",603 616 526,WA LIMITED LIABILITY COMPANY,"909 W MAIN ST STE 105, BATTLE GROUND, WA, 98604-4884, UNITED STATES",KIRSTEN FRIBERG,Active
"FIRST CHIROPRACTIC, P.S.",602 510 740,WA PROFESSIONAL SERVICE CORPORATION,"2003 132ND ST ST, SUITE E, EVERETT, WA, 98208, UNITED STATES",DR CAMERON LICHFIELD DC,Delinquent
"FISHERS LANDING CHIROPRACTIC CLINIC, P.C.",602 009 365,WA PROFESSIONAL SERVICE CORPORATION,"5202 SW 6TH AVE, CAMAS, WA, 98607-2575, UNITED STATES",ROBERT E BRASWELL,Active
FLETCHER CHIROPRACTIC INC.,601 927 915,WA PROFIT CORPORATION,,SCOTT FLETCHER D C,Inactive
"FLOURISH CHIROPRACTIC OF SEATTLE, LLC",603 473 776,WA LIMITED LIABILITY COMPANY,"417 E PINE ST, STE P, SEATTLE, WA, 98122-2378, UNITED STATES","FLOURISH CHIROPRACTIC OF SEATTLE, LLC",Active
"FODOR CHIROPRACTIC, P.S.",602 790 813,WA PROFESSIONAL SERVICE CORPORATION,"1101 E TACOMA AVE, SUNNYSIDE, WA, 98944, UNITED STATES",TROY FODOR,Active
"FOLEY CHIROPRACTIC, P.C.",604 328 726,WA PROFESSIONAL SERVICE CORPORATION,"1019 REGENTS BLVD STE 203, TACOMA, WA, 98466-6037, UNITED STATES",TRACY FOLEY,Active
"FOLWEILER CHIROPRACTIC, PS",602 833 990,WA PROFIT CORPORATION,"10564 FIFTH AVE NE #202, SEATTLE, WA, 98125, UNITED STATES",DAVID FOLWEILER,Active
"FOREST VILLA CHIROPRACTIC INC., P.S.",600 406 972,WA PROFESSIONAL SERVICE CORPORATION,,GAIL L ROGERS,Administratively Dissolved
"FORSBERG CHIROPRACTIC CLINIC, P.S.",601 595 796,WA PROFESSIONAL SERVICE CORPORATION,,STEVEN J FORSBERG D C,Administratively Dissolved
FORTIFY FAMILY CHIROPRACTIC LLC,604 489 868,WA LIMITED LIABILITY COMPANY,"4511 PHOENIX LN, PASCO, WA, 99301-6139, UNITED STATES",JAMES RINER,Active
FOUNDATION CHIROPRACTIC P.S.,603 565 870,WA PROFESSIONAL SERVICE CORPORATION,"1118 OUTLET COLLECTION WAY, #101, AUBURN, WA, 98001, UNITED STATES",SKYLAR GEMMER,Active
"FOURTH STREET CHIROPRACTIC CENTER, INC.",602 170 465,WA PROFIT CORPORATION,,KENNETH L SONDERLEITER SR,Inactive
FOX CHIROPRACTIC LLC,602 191 689,WA LIMITED LIABILITY COMPANY,,DARCY FOX,Inactive
"FOX CHIROPRACTIC WELLNESS CENTER, PS",602 833 681,WA PROFESSIONAL SERVICE CORPORATION,"1301 AQUA VISTA DRIVE NW, GIG HARBOR, WA, 98335, UNITED STATES",PAM  FOX,Active
"FOX CHIROPRACTIC, P.S.",602 468 991,WA PROFESSIONAL SERVICE CORPORATION,"7502 35TH AVE NE, SEATTLE, WA, 98115, UNITED STATES",DARCY FOX,Active
"FRALEY CHIROPRACTIC, INC. PS",602 866 161,WA PROFIT CORPORATION,"925 W BROADWAY AVE, MOSES LAKE, WA, 98837-2602, UNITED STATES",ALLEN FRALEY,Active
FRANKLIN CHIROPRACTIC P.S.,602 971 977,WA PROFESSIONAL SERVICE CORPORATION,"10030 SILVERDALE WAY NW, SUITE 102, SILVERDALE, WA, 98383-7624, UNITED STATES",FRANKLIN CHIROPRACTIC,Active
FRAZIER CHIROPRACTIC INC.,601 685 397,WA PROFIT CORPORATION,,JANE M FRAZIER D C,Inactive
"FREDRICKSON CHIROPRACTIC CLINIC, P.S.",601 225 707,WA PROFESSIONAL SERVICE CORPORATION,"355 W 3RD AVE, KETTLE FALLS, WA, 99141-8620, UNITED STATES",MARTHA FREDRICKSON,Active
"FREECHIROCLASSIFIEDS.COM, LLC",602 873 999,WA LIMITED LIABILITY COMPANY,"16632 167TH AVE SE, MONROE, WA, 98272, UNITED STATES",CARL COSGROVE,Inactive
FREEDOM CHIROPRACTIC LLC,602 396 215,WA LIMITED LIABILITY COMPANY,"1699 MILE HILL DR, PORT ORCHARD, WA, 98366, UNITED STATES",WORKFORCE INNOVATIONS NETWORK LLC,Inactive
"FREELAND CHIROPRACTIC, P.C.",602 087 465,WA PROFESSIONAL SERVICE CORPORATION,,DALE K ROUNDY,Inactive
FRIEDMAN CHIROPRACTIC PLLC,604 621 543,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"17007 SE 261ST ST, COVINGTON, WA, 98042-8373, UNITED STATES",JACOB FRIEDMAN,Active
"FRONT STREET CHIROPRACTIC CLINIC, P.S.",602 060 572,WA PROFESSIONAL SERVICE CORPORATION,"46 FRONT ST N, ISSAQUAH, WA, 98027, UNITED STATES",ROBERT S BROWN,Administratively Dissolved
"FUHRMEISTER CHIROPRACTIC, P.S.",602 152 448,WA PROFESSIONAL SERVICE CORPORATION,,KURT A FUHRMEISTER DC,Administratively Dissolved
FULL SPECTRUM CHIROPRACTIC PLLC,603 481 683,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"101 ROGERS ST, OLYMPIA, WA, 98502, UNITED STATES",WALKER YOST,Active
"FUNCTIONAL HEALTH CHIROPRACTIC, PLLC",603 365 726,WA PROFESSIONAL LIMITED LIABILITY COMPANY,,TY WEINGARD,Administratively Dissolved
"FUTURE HEALTH CHIROPRACTIC, LLC",603 294 109,WA LIMITED LIABILITY COMPANY,"298 S MAIN ST STE 208, COLVILLE, WA, 99114-2416, UNITED STATES",JASON GUTZWILER,Active
"G AND M CHIRO, P.L.L.C",602 860 128,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"1227 NORTH GOERIG ST STE H, WOODLAND, WA, 98674, UNITED STATES",SCOTT C HENDERSON,Inactive
GABRIEL TORRES PRACTICE OF CHIROPRACTIC PLLC,602 897 533,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"11210 BRIDGEPORT WAY SW, LAKEWOOD, WA, 98499, UNITED STATES",GABRIEL TORRES,Administratively Dissolved
"GAITLINK CHIROPRACTIC CENTER, INC.",601 734 922,WA PROFIT CORPORATION,"32279 RAINIER AVE NE, PORT GAMBLE, WA, 98364, UNITED STATES",C ANDREW SWANSON,Active
GARBERG CHIROPRACTIC PLLC,603 396 461,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"325 WELLSIAN WAY, RICHLAND, WA, 99352-4116, UNITED STATES",GILBERT GARBERG,Active
"GATEWAY CHIROPRACTIC, INC. P.S.",602 353 024,WA PROFESSIONAL SERVICE CORPORATION,"21370 ROLLING RIDGE DR, SEDRO WOOLLEY, WA, 98284, UNITED STATES",LAWRENCE A PIRKLE,Active
GEHM CHIROPRACTIC SERVICES P.L.L.C.,604 390 529,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"5002 SW 6TH AVE, CAMAS, WA, 98607-2572, UNITED STATES",BRYAN GEHM,Active
"GEMMER CHIROPRACTIC, INC. P.S.",601 946 773,WA PROFESSIONAL SERVICE CORPORATION,,ERWIN L GEMMER,Inactive
GENERATIONS CHIROPRACTIC INC,604 616 428,WA PROFIT CORPORATION,"4204 E MOODY LN, MEAD, WA, 99021-5057, UNITED STATES",HAILEY DESCOTEAUX,Active
"GENESIS CHIROPRACTIC CENTER, INC., P.S.",601 897 157,WA PROFIT CORPORATION,"5630 3RD AVE, FERNDALE, WA, 98248, UNITED STATES",MARK A MIELKE DC,Active
GENESIS CHIROPRACTIC GROUP LLC,603 277 891,WA LIMITED LIABILITY COMPANY,"3756 RAINIER AVE S # D, SEATTLE, WA, 98144, UNITED STATES",JOSEPH AYELE,Administratively Dissolved
"GENESIS CHIROPRACTIC REHABILITATION NW, PLLC",603 123 368,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"12815 CANYON RD E, SUITE K, PUYALLUP, WA, 98373-5104, UNITED STATES",MARC  HINES,Active
"GENTLE LOW FORCE CHIROPRACTIC, INC.",602 810 015,WA PROFIT CORPORATION,"2611 NE 125TH STREET, SUITE 115, SEATTLE, WA, 98125, UNITED STATES",JEFFREY MOORE,Administratively Dissolved
GERALD T BRADY CHIROPRACTIC PROFESSIONAL CORP.,602 442 815,WA PROFESSIONAL SERVICE CORPORATION,"119 VILLAGE WAY, PORT LUDLOW, WA, 98365-8792, UNITED STATES",GERALD T BRADY CHIROPRACTIC PROFESSIONAL CORP,Active
"GITHENS CHIROPRACTIC CLINIC, INC",602 489 656,WA PROFIT CORPORATION,"5702 N 26TH ST, STE B, TACOMA, WA, 98407-2406, UNITED STATES",DUANE GITHENS,Active
"GLACIER CHIROPRACTIC, LLC",604 215 356,WA LIMITED LIABILITY COMPANY,"1702 NW MARKET ST, SEATTLE, WA, 98107-5224, UNITED STATES",LLC MANAGEMENT SERVICES LLC,Voluntarily Dissolved
"GLASS CHIROPRACTIC CLINIC, P.S.",602 167 132,WA PROFESSIONAL SERVICE CORPORATION,"4407 N DIVISION ST STE 415, SPOKANE, WA, 99207-1613, UNITED STATES",STEVEN GLASS,Active
GLINES CHIROPRACTIC LLC,603 604 966,WA LIMITED LIABILITY COMPANY,"6612 54TH PL NE, MARYSVILLE, WA, 98270-8930, UNITED STATES",JENNIFER JONES,Voluntarily Dissolved
"GOBER CHIROPRACTIC CENTER, P.S.",601 010 204,WA PROFESSIONAL SERVICE CORPORATION,"12826 SE 40TH LN, SUITE 105, BELLEVUE, WA, 98006-5266, UNITED STATES",KENNETH W GOBER DC,Active
GOLD BAR CHIROPRACTIC P.L.L.C.,602 255 538,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"301 CROFT AVE, GOLD BAR, WA, 98251, UNITED STATES",TYLER ALLISON,Active
"GOLDEN CHIROPRACTIC CLINIC, INC., P.S.",000 081 473,WA PROFESSIONAL SERVICE CORPORATION,,ALLEN E GOLDEN DC,Inactive
"GOLDEN GIVEN CHIROPRACTIC, INC.",602 099 970,WA PROFIT CORPORATION,,ROY E MCCOURT,Inactive
"GOLDEN GIVEN CHIROPRACTIC, P.S.",602 353 377,WA PROFESSIONAL SERVICE CORPORATION,"1024 72ND ST E, TACOMA, WA, 98404-1732, UNITED STATES",ROY MCCOURT,Active
"GOLDENDALE CHIROPRACTIC & NATURAL MEDICINE, LLC",603 248 112,WA LIMITED LIABILITY COMPANY,"216 W MAIN STREET, GOLDENDALE, WA, 98620, UNITED STATES",SHERRY  CARVER,Administratively Dissolved
"GONSTEAD CHIROPRACTIC OF SEATTLE, PC",604 239 427,WA PROFESSIONAL SERVICE CORPORATION,"13028 INTERURBAN AVE. S., SUITE 106, SEATTLE, WA, 98168, UNITED STATES",GREG HAFFNER,Active
"GONSTEAD FAMILY CHIROPRACTIC, LLC",602 941 759,WA LIMITED LIABILITY COMPANY,"8322 55TH AVE SE, LACEY, WA, 98513, UNITED STATES",DALLAN PACKARD,Administratively Dissolved
"GOOD DOCTOR CHIROPRACTIC, LLC",603 352 772,WA LIMITED LIABILITY COMPANY,"19514 64TH AVE W STE B, LYNNWOOD, WA, 98036-5190, UNITED STATES",BYUNGSUNG KIM,Active
